,g,k,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,label
82,0.0,0.83,0.35594104,0.26956421,0.25821518,0.25600983,-0.14606623,-0.02738374,-0.01555672,-0.01347231,0.77626741,0.73706214,0.72355141,0.719946,1
83,0.0,0.84,0.3672205,0.27899776,0.26732795,0.26504866,-0.15091936,-0.0285922,-0.01620806,-0.01400992,0.76903778,0.72753697,0.71302845,0.70913266,1
84,0.0,0.85,0.37864858,0.2886109,0.27663058,0.27427987,-0.15580558,-0.02980427,-0.01685429,-0.01454016,0.76166722,0.71779045,0.70223997,0.69803966,1
85,0.0,0.86,0.39020876,0.29839235,0.28611317,0.28369395,-0.16071376,-0.03101591,-0.01749271,-0.01506064,0.75416247,0.70783208,0.69119663,0.686678,1
86,0.0,0.87,0.40188329,0.30832957,0.29576452,0.29328006,-0.16563226,-0.032223,-0.01812062,-0.01556896,0.74653128,0.69767296,0.67991104,0.67506069,1
87,0.0,0.88,0.41365327,0.31840883,0.30557218,0.3030261,-0.170549,-0.03342134,-0.01873533,-0.01606278,0.73878232,0.68732568,0.66839768,0.66320279,1
88,0.0,0.89,0.42549882,0.3286153,0.3155225,0.31291876,-0.17545163,-0.03460671,-0.01933421,-0.01653981,0.73092515,0.67680435,0.65667286,0.65112127,1
89,0.0,0.9,0.43739923,0.33893315,0.32560077,0.32294363,-0.18032761,-0.03577493,-0.01991469,-0.01699787,0.7229702,0.66612444,0.64475461,0.63883494,1
90,0.0,0.91,0.4493332,0.34934571,0.33579131,0.3330853,-0.18516436,-0.03692188,-0.02047432,-0.01743489,0.71492861,0.65530266,0.63266253,0.6263643,1
91,0.0,0.92,0.46127896,0.35983561,0.34607761,0.34332749,-0.18994936,-0.03804359,-0.0210108,-0.01784896,0.70681219,0.64435686,0.62041764,0.61373138,1
92,0.0,0.93,0.47321459,0.37038494,0.3564425,0.35365323,-0.19467034,-0.03913621,-0.021522,-0.01823834,0.69863331,0.63330586,0.60804221,0.60095951,1
93,0.0,0.94,0.48511814,0.3809754,0.36686831,0.364045,-0.19931534,-0.04019616,-0.02200598,-0.01860147,0.69040478,0.62216922,0.59555946,0.58807311,1
94,0.0,0.95,0.49696792,0.39158854,0.37733703,0.3744849,-0.20387289,-0.04122005,-0.02246102,-0.01893703,0.68213967,0.6109671,0.58299343,0.57509745,1
95,0.0,0.96,0.50874269,0.40220589,0.3878305,0.38495485,-0.20833212,-0.04220482,-0.02288562,-0.01924389,0.67385128,0.59972001,0.57036866,0.56205836,1
96,0.0,0.97,0.52042186,0.41280919,0.3983306,0.39543675,-0.21268282,-0.0431477,-0.02327855,-0.01952118,0.6655529,0.58844865,0.55770993,0.54898198,1
97,0.0,0.98,0.53198569,0.42338049,0.40881943,0.40591267,-0.21691559,-0.04404625,-0.02363882,-0.01976826,0.65725776,0.57717363,0.54504206,0.53589447,1
98,0.0,0.99,0.54341547,0.43390242,0.41927945,0.41636501,-0.22102188,-0.0448984,-0.0239657,-0.01998472,0.64897886,0.56591533,0.53238961,0.52282176,2
99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
100,0.01,0.01,3.852e-05,2.544e-05,2.551e-05,2.551e-05,-1.301e-05,6e-08,0.0,-0.0,0.99997449,0.99997449,0.99997449,0.99997449,1
101,0.01,0.02,0.0001541,0.00010179,0.00010204,0.00010204,-5.206e-05,2.5e-07,0.0,-0.0,0.99989796,0.99989795,0.99989795,0.99989795,1
102,0.01,0.03,0.00034675,0.00022907,0.00022962,0.00022962,-0.00011715,5.6e-07,-0.0,-0.0,0.99977039,0.99977035,0.99977035,0.99977035,1
103,0.01,0.04,0.00061652,0.00040735,0.00040829,0.00040829,-0.00020831,9.8e-07,-0.0,-0.0,0.99959175,0.99959162,0.99959162,0.99959162,1
104,0.01,0.05,0.00096347,0.00063672,0.00063811,0.00063811,-0.00032557,1.5e-06,-0.0,-0.0,0.99936199,0.99936168,0.99936168,0.99936168,1
105,0.01,0.06,0.00138767,0.00091728,0.00091915,0.00091915,-0.00046896,2.09e-06,-0.0,-0.0,0.99908107,0.99908041,0.99908042,0.99908042,1
106,0.01,0.07,0.00188922,0.00124917,0.00125149,0.0012515,-0.00063853,2.73e-06,-1e-08,-1e-08,0.9987489,0.9987477,0.9987477,0.9987477,1
107,0.01,0.08,0.00246823,0.00163255,0.00163526,0.00163527,-0.00083436,3.39e-06,-3e-08,-3e-08,0.99836543,0.99836336,0.99836336,0.99836336,1
108,0.01,0.09,0.00312484,0.00206761,0.00207058,0.00207059,-0.0010565,4.04e-06,-5e-08,-6e-08,0.99793054,0.99792723,0.99792723,0.99792723,1
109,0.01,0.1,0.00385921,0.00255457,0.0025576,0.0025576,-0.00130506,4.63e-06,-1e-07,-1e-07,0.99744414,0.99743909,0.99743908,0.99743908,1
110,0.01,0.11,0.00467151,0.00309368,0.00309648,0.00309648,-0.00158013,5.11e-06,-1.9e-07,-1.8e-07,0.9969061,0.9968987,0.99689869,0.99689869,1
111,0.01,0.12,0.00556197,0.00368521,0.00368742,0.00368741,-0.00188183,5.42e-06,-3.2e-07,-3.1e-07,0.9963163,0.99630581,0.99630578,0.99630578,1
112,0.01,0.13,0.00653082,0.00432947,0.00433063,0.00433061,-0.00221032,5.48e-06,-5.2e-07,-5e-07,0.99567458,0.99566012,0.99566006,0.99566006,1
113,0.01,0.14,0.00757832,0.0050268,0.00502636,0.0050263,-0.00256574,5.22e-06,-8.2e-07,-7.8e-07,0.9949808,0.99496133,0.99496122,0.99496122,1
114,0.01,0.15,0.00870478,0.00577758,0.00577486,0.00577475,-0.00294829,4.55e-06,-1.24e-06,-1.18e-06,0.99423477,0.99420908,0.9942089,0.9942089,1
115,0.01,0.16,0.00991054,0.00658221,0.00657642,0.00657625,-0.00335817,3.36e-06,-1.84e-06,-1.73e-06,0.9934363,0.993403,0.99340273,0.99340272,1
116,0.01,0.17,0.01119597,0.00744116,0.00743139,0.0074311,-0.00379564,1.53e-06,-2.65e-06,-2.48e-06,0.99258519,0.9925427,0.99254228,0.99254226,1
117,0.01,0.18,0.0125615,0.00835491,0.0083401,0.00833967,-0.00426095,-1.08e-06,-3.73e-06,-3.48e-06,0.99168122,0.99162773,0.99162711,0.99162709,1
118,0.01,0.19,0.0140076,0.00932399,0.00930295,0.00930232,-0.00475442,-4.62e-06,-5.16e-06,-4.8e-06,0.99072416,0.99065762,0.99065674,0.9906567,1
119,0.01,0.2,0.01553477,0.01034898,0.01032036,0.01031946,-0.00527639,-9.27e-06,-7.01e-06,-6.51e-06,0.98971373,0.98963189,0.98963065,0.98963059,1
120,0.01,0.21,0.0171436,0.01143052,0.01139281,0.01139156,-0.00582725,-1.52e-05,-9.38e-06,-8.69e-06,0.98864966,0.98854999,0.98854827,0.98854819,1
121,0.01,0.22,0.0188347,0.01256927,0.0125208,0.0125191,-0.0064074,-2.264e-05,-1.238e-05,-1.145e-05,0.98753167,0.98741135,0.98740902,0.98740889,1
122,0.01,0.23,0.02060877,0.01376597,0.01370489,0.01370261,-0.00701734,-3.183e-05,-1.613e-05,-1.488e-05,0.98635941,0.98621534,0.98621223,0.98621205,1
123,0.01,0.24,0.02246656,0.01502141,0.01494567,0.01494268,-0.00765758,-4.301e-05,-2.077e-05,-1.913e-05,0.98513256,0.98496132,0.98495721,0.98495696,1
124,0.01,0.25,0.02440891,0.01633644,0.01624382,0.01623993,-0.00832869,-5.647e-05,-2.645e-05,-2.433e-05,0.98385075,0.98364859,0.98364322,0.98364287,1
125,0.01,0.26,0.02643672,0.01771197,0.01760004,0.01759505,-0.00903131,-7.254e-05,-3.336e-05,-3.064e-05,0.98251356,0.98227638,0.98226945,0.98226898,1
126,0.01,0.27,0.02855098,0.01914898,0.0190151,0.01900878,-0.00976613,-9.154e-05,-4.169e-05,-3.824e-05,0.98112058,0.9808439,0.98083504,0.9808344,1
